nom,sku,code_barres,unite,prix_achat,prix_vente,stock_min,stock_entrant,description,actif,categorie,marque
Scooter MIO UBRIDE 2026,,,pce,,1050000,,10,"<p>Le Scooter MIO UBRIDE 2026 est un scooter urbain moderne, compact et économique, conçu pour offrir une conduite confortable et une excellente maniabilité dans les déplacements quotidiens.</p>",1,Moteur et Moto,
Honda Air Blade 160 2026,,,pce,,1600000,,10,"<p>Le Honda Air Blade 160 2026 est un scooter sportif haut de gamme alliant puissance, élégance et confort. Son moteur 160 cc performant et son design moderne en font un excellent choix pour les déplacements urbains et périurbains.</p>",1,Moteur et Moto,HONDA
Cache tête de fourche / Carénage avant moto F150,,,pce,,8000,,10,"<p>Carénage avant design sport pour moto F150, finition noir mat et noir brillant, protection et style agressif.</p>",1,Accesssoires,SR
Compteur digital multifonction LED avec indicateur de rapport,,,pce,,50000,,10,"<p>ableau de bord numérique complet avec affichage mph/km/h, compte-tours, jauge carburant, température et indicateur de vitesse engagée.</p>",1,Compteurs,SR
Compteur digital LCD multifonction pour moto,,,pce,,50000,,10,"<p>Tableau de bord numérique haute précision avec affichage vitesse, régime moteur, jauge carburant et indicateur de rapport engagé.</p>",1,Compteurs,Yamaha
Arbre à Cames 115 SR Motorcycle,,,pce,,7000,,10,"<p>Arbre à cames pour moteur 115cc, synchronisation précise et performance stable.</p>",1,Moteur et Moto,SR
Arbre à Cames Honda Air Blade SR Motorcycle,,,pce,,13000,,10,"<p>Arbre à cames pour Honda Air Blade, synchronisation précise et performance moteur optimisée.</p>",1,Moteur et Moto,SR
Arbre à Cames 135 SR Motorcycle,,,pce,,8000,,10,"<p>Arbre à cames pour moteur 135cc, synchronisation précise et performance fiable.</p>",1,Moteur et Moto,SR
Arbre à Cames 155 SR Motorcycle,,,pce,,12000,,10,"<p>Arbre à cames pour moteur 155cc, synchronisation précise et performance optimisée.</p>",1,Moteur et Moto,SR
Arbre à Cames Yamaha Mio SR Motorcycle,,,pce,,12000,,10,"<p>Arbre à cames pour Yamaha Mio, synchronisation précise et performance moteur optimisée.</p>",1,Moteur et Moto,SR
Rampe de Culbuteur Moto 115 SR Motorcycle,,,pce,,5000,,10,"<p>Rampe de culbuteur pour moto 115cc, précision et fiabilité moteur.</p>",1,Moteur et Moto,SR
Rampe de Culbuteur Scooter 155 SR Motorcycle,,,pce,,8000,,10,"<p>Rampe de culbuteur pour scooter 155cc, transmission précise et performance fiable.</p>",1,Moteur et Moto,SR
Rampe de Culbuteur Moto 135 SR Motorcycle,,,pce,,6000,,10,"<p>Rampe de culbuteur pour moto 135cc, transmission précise et fiabilité moteur.</p>",1,Moteur et Moto,SR
Rampe de Culbuteur Yamaha Exciter 155 SR Motorcycle,,,pce,,9000,,10,"<p>Rampe de culbuteur pour Yamaha Exciter 155, transmission précise et performance moteur optimisée.</p>",1,Moteur et Moto,SR
